artsid;artsnavn;klassifikation
3320;Urfugl;SU
3350;[Tjur];Alm
3550;[Chukarhøne];Alm
3580;[Rødhøne];Alm
3670;Agerhøne;Alm
3700;Vagtel;Alm
3930;[Kongefasan];Alm
3940;Fasan;Alm
3960;[Guldfasan];Alm
4070;Vandrikse;Alm
4080;Plettet Rørvagtel;SUB
4100;Lille Rørvagtel;SU
4110;Dværgrørvagtel;SU
4169;Rørvagtel sp.;Alm
4210;Engsnarre;Alm
4240;Rørhøne;Alm
4250;Lille Sultanhøne;SU
4270;[Sultanhøne];Alm
4290;Blishøne;Alm
4298;Blishøne x Rørhøne (hybrid);Alm
4330;Trane;Alm
4360;Prærietrane;SU
4380;[Japansk Trane];Alm
4385;Trane x Japansk Trane (hybrid);Alm
4409;Trane sp.;Alm
4410;Jomfrutrane;SU
4419;Stork/Trane sp.;Alm
4420;Dværgtrappe;SU
4445;Østlig Kravetrappe;SU
4460;Stortrappe;SU
4500;Strandskade;Alm
4550;Stylteløber;SUB
4560;Klyde;Alm
4590;Triel;SU
4640;Ørkenløber;SU
4650;Rødvinget Braksvale;SU
4660;Orientbraksvale;SU
4670;Sortvinget Braksvale;SU
4689;Braksvale sp.;Alm
4690;Lille Præstekrave;Alm
4700;Stor Præstekrave;Alm
4701;Stor Præstekrave (ssp. hiaticula);Alm
4702;Stor Præstekrave, Tundra (ssp. tundrae);Alm
4770;Hvidbrystet Præstekrave;SUB
4780;Tibetansk Præstekrave;SU
4786;Sibirisk Præstekrave;SU
4790;Ørkenpræstekrave;SU
4795;Ørken-/Tibetansk/Sibirisk Præstekrave;Alm
4800;Kaspisk Præstekrave;SU
4820;Pomeransfugl;SUB
4840;Amerikansk Hjejle;SU
4845;Sibirisk Hjejle;SU
4848;Amerikansk Hjejle/Sibirisk Hjejle;Alm
4850;Hjejle;Alm
4860;Strandhjejle;Alm
4870;[Sporevibe];Alm
4910;Steppevibe;SU
4920;Sumpvibe;SU
4930;Vibe;Alm
4939;Brokfugl sp.;Alm
4960;Islandsk Ryle;Alm
4961;Islandsk Ryle, Sibirisk (ssp. canutus);Alm
4962;Islandsk Ryle, Baffinryle (ssp. islandica);Alm
4969;Islandsk Ryle/Lille Kobbersneppe;Alm
4970;Sandløber;Alm
4980;Tyknæbbet Dværgryle;SU
5000;Rødhalset Ryle;SU
5010;Dværgryle;Alm
5018;Dværgryle/Temmincksryle;Alm
5020;Temmincksryle;Alm
5050;Hvidrygget Ryle;SU
5060;Bairdsryle;SU
5070;Stribet Ryle;SUB
5080;Spidshalet Ryle;SU
5090;Krumnæbbet Ryle;Alm
5100;Sortgrå Ryle;Alm
5120;Almindelig Ryle;Alm
5121;Almindelig Ryle, Nordlig (ssp. alpina);Alm
5123;Almindelig Ryle, Engryle (ssp. schinzii);Alm
5129;Ryle sp.;Alm
5140;Kærløber;SUB
5150;Klireryle;SU
5160;Prærieløber;SU
5170;Brushane;Alm
5180;Enkeltbekkasin;Alm
5190;Dobbeltbekkasin;Alm
5200;Tredækker;SUB
5270;Langnæbbet Sneppeklire;SU
5289;Sneppeklire sp.;Alm
5290;Skovsneppe;Alm
5320;Stor Kobbersneppe;Alm
5321;Stor Kobbersneppe (ssp. limosa);Alm
5322;Stor Kobbersneppe, Islandsk (ssp. islandica);Alm
5330;Canadisk Kobbersneppe;SU
5340;Lille Kobbersneppe;Alm
5380;Småspove;Alm
5410;Storspove;Alm
5439;Spove sp.;Alm
5440;Bartramsklire;SU
5450;Sortklire;Alm
5459;Sortklire/Rødben;Alm
5460;Rødben;Alm
5461;Rødben (ssp. totanus);Alm
5462;Rødben, Islandsk (ssp. robusta);Alm
5470;Damklire;SUB
5480;Hvidklire;Alm
5500;Stor Gulben;SU
5510;Lille Gulben;SU
5530;Svaleklire;Alm
5540;Tinksmed;Alm
5550;Terekklire;SU
5560;Mudderklire;Alm
5570;Plettet Mudderklire;SU
5610;Stenvender;Alm
5630;Amerikansk Svømmesneppe;SU
5640;Odinshane;SUB
5649;Odinshane/Thorshane;Alm
5650;Thorshane;SUB
5658;Vader sp., Stor;Alm
5659;Vader sp., Lille;Alm
5660;Mellemkjove;SUB
5669;Mellemkjove/Almindelig Kjove;Alm
5670;Almindelig Kjove;Alm
5679;Almindelig Kjove/Lille Kjove;Alm
5680;Lille Kjove;SUB
5690;Storkjove;Alm
5709;Kjove sp.;Alm
5730;Stor Sorthovedet Måge;SU
5750;Sorthovedet Måge;Alm
5758;Sorthovedet Måge x Hættemåge (hybrid);Alm
5760;Lattermåge;SU
5770;Præriemåge;SU
5780;Dværgmåge;Alm
5790;Sabinemåge;SUB
5810;Bonapartemåge;SU
5820;Hættemåge;Alm
5850;Tyndnæbbet Måge;SU
5880;Audouinsmåge;SU
5890;Ringnæbbet Måge;SU
5900;Stormmåge;Alm
5901;Stormmåge (ssp. canus);Alm
