artsid;artsnavn;content
01626;Indisk Gås X Canadagås (hybrid);0
01625;Indisk Gås X Grågås (hybrid);0
11440;Isabellastenpikker;0
08310;Isfugl;1
04960;Islandsk Ryle;1
04969;Islandsk Ryle/Lille Kobbersneppe;0
04962;Islandsk Ryle, Baffinryle (ssp. islandica);1
04961;Islandsk Ryle, Sibirisk (ssp. canutus);0
00040;Islom;1
00049;Islom/Hvidnæbbet Lom;0
06040;Ismåge;0
03180;Jagtfalk;1
04380;[Japansk Trane];0
10840;Jernspurv;1
04410;Jomfrutrane;0
07990;Kaffersejler;0
02270;[Kalkungrib];0
16420;[Kanariefugl];0
01930;[Kaneland];0
16790;Karmindompap;1
05930;Kaspisk Måge;1
04800;Kaspisk Præstekrave;0
01650;[Kejsergås];0
02950;Kejserørn;0
17170;Kernebider;1
07570;Kirkeugle;1
05709;Kjove sp.;0
06650;Klippedue (tamdue);1
09910;Klippesvale;0
18600;Klippeværling;0
05150;Klireryle;0
04560;Klyde;1
01820;Knarand;1
01520;Knopsvane;1
01680;Knortegås;1
01682;Knortegås, Lysbuget (ssp. hrota);1
01681;Knortegås, Mørkbuget (ssp. bernicla);1
01688;Knortegås, Mørkbuget x Sortbuget (hybrid);0
01683;Knortegås, Sortbuget (ssp. nigricans);0
01689;Knortegås x Rødhalset Gås (hybrid);0
01110;Kohejre;1
02070;Kongeederfugl;1
02078;Kongeederfugl x Ederfugl (hybrid);0
03930;[Kongefasan];0
02960;Kongeørn;1
16689;Korsnæb sp.;0
01580;Kortnæbbet Gås;1
09680;Korttået Lærke;0
14870;Korttået Træløber;1
15670;Krage;1
15749;Kragefugl sp.;0
15673;Krage, Gråkrage (ssp. cornix);0
15671;Krage, Sortkrage (ssp. corone);0
01840;Krikand;1
01845;Krikand, Amerikansk (ssp. carolinensis);1
01844;Krikand x Amerikansk Krikand (hybrid);0
01843;Krikand x Gråand (hybrid);0
16990;Krognæb;1
05090;Krumnæbbet Ryle;1
00890;Krøltoppet Pelikan;0
16380;Kvækerfinke;1
02649;Kærhøg sp.;0
05140;Kærløber;1
12500;Kærsanger;1
02460;[Lammegrib];0
09920;Landsvale;1
09923;Landsvale, Libanonlandsvale (ssp. transitiva);0
10018;Landsvale x Bysvale (hybrid);0
17040;[Langhalet Rosenfinke];0
15170;Langhalet Tornskade;0
05270;Langnæbbet Sneppeklire;0
03140;[Lannerfalk];0
00139;Lappedykker sp.;0
18470;Lapværling;1
18479;Lapværling/Snespurv;0
05760;Lattermåge;0
02050;Lille Bjergand;0
02051;Lille Bjergand x Troldand (hybrid);0
08870;Lille Flagspætte;1
08871;Lille Flagspætte, Nordlig (ssp. minor);0
08876;Lille Flagspætte, Sydlig (ssp. hortorum);0
01480;[Lille Flamingo];0
13430;Lille Fluesnapper;1
05510;Lille Gulben;0
12560;Lille Gulbug;0
05680;Lille Kjove;1
05340;Lille Kobbersneppe;1
16660;Lille Korsnæb;1
16669;Lille Korsnæb/Stor Korsnæb;0
00070;Lille Lappedykker;1
04690;Lille Præstekrave;1
12470;Lille Rørsanger;0
04100;Lille Rørvagtel;0
08000;Lille Sejler;0
02200;Lille Skallesluger;1
02920;Lille Skrigeørn;1
02929;Lille Skrigeørn/Stor Skrigeørn;0
00520;Lille Stormsvale;1
04250;Lille Sultanhøne;0
03030;Lille Tårnfalk;0
06340;Lomvie;1
06369;Lomvie/Alk;0
06343;Lomvie, Arktisk (ssp. hyperborea);0
06342;Lomvie, Britisk (ssp. albionis);0
06341;Lomvie, Nordlig (ssp. aalge);0
00059;Lom sp.;0
06540;Lunde;1
12930;Lundsanger;1
03100;Lærkefalk;1
03109;Lærkefalk/Aftenfalk;0
09799;Lærke sp.;0
13120;Løvsanger;1
13121;Løvsanger, Almindelig (ssp. trochilus);0
13122;Løvsanger, Nordlig (ssp. acredula);0
00259;Madeira/Kap Verde/Desertas Petrel;0
01695;[Magellangås];0
12655;Makisanger;0
00220;Mallemuk;1
11020;Manchurernattergal;0
01780;Mandarinand;1
10050;Markpiber;1
01950;[Marmorand];0
14669;Mejse sp.;0
08830;Mellemflagspætte;1
05660;Mellemkjove;1
05669;Mellemkjove/Almindelig Kjove;0
00462;Middelhavsskråpe;0
00459;Middelhavsskråpe/Almindelig Skråpe;0
00455;Middelhavsskråpe, Balearisk (ssp. mauretanicus);0
05915;Middelhavssølvmåge;1
12020;Misteldrossel;1
10040;Mongolsk Piber;0
07680;Mosehornugle;1
06289;Moseterne sp.;0
01750;[Moskusand];0
05560;Mudderklire;1
12770;Munk;1
02550;[Munkegrib];0
07085;[Munkeparakit];0
07950;Mursejler;1
14640;Musvit;1
02870;Musvåge;1
02872;Musvåge, Steppevåge (ssp. vulpinus);0
18420;Mørkøjet Junco;0
06049;Måge sp.;0
01040;Nathejre;1
07780;Natravn;1
11030;Nattergal;1
11039;Nattergal/Sydlig Nattergal;0
07610;Natugle;1
01700;Nilgås;1
11470;Nonnestenpikker;0
00110;Nordisk Lappedykker;1
00119;Nordisk Lappedykker/Sorthalset Lappedykker;0
14378;Nordlig Halemejse x Sydlig Halemejse (hybrid);0
12950;Nordsanger;0
40010;[Nymfeparakit];0
99999;Ny fugleart for landet;0
15570;Nøddekrige;1
15571;Nøddekrige, Tyknæbbet (ssp. caryocatactes);0
15572;Nøddekrige, Tyndnæbbet (ssp. macrorhynchos);0
05640;Odinshane;1
05649;Odinshane/Thorshane;0
11770;Olivenskovdrossel;0
04660;Orientbraksvale;0
07970;Orientsejler;0
07149;Papegøje sp.;0
00919;Pelikan sp.;0
07700;Perleugle;1
13129;Phylloscopus sp.;0
01790;Pibeand;1
01799;Pibeand/Spidsand;0
01798;Pibeand x Chilepibeand (hybrid);0
01794;Pibeand x Gråand (hybrid);0
01797;Pibeand x Knarand (hybrid);0
01793;Pibeand x Krikand (hybrid);0
10159;Piber sp.;0
01530;Pibesvane;1
01539;Pibesvane/Sangsvane;0
18730;Pileværling;0
15080;Pirol;1
05570;Plettet Mudderklire;0
04080;Plettet Rørvagtel;1
06350;Polarlomvie;0
04820;Pomeransfugl;1
00930;Pragtfregatfugl;0
05160;Prærieløber;0
05770;Præriemåge;0
04360;Prærietrane;0
14900;Pungmejse;1
01240;Purpurhejre;0
35670;[Påfugl];0
01699;Rajgås sp.;0
15720;Ravn;1
06020;Ride;1
11860;Ringdrossel;1
06700;Ringdue;1
05890;Ringnæbbet Måge;0
00900;[Rosapelikan];0
18870;Rosenbrystet Kernebider;0
15190;Rosenbrystet Tornskade;1
16890;[Rosenfinke];0
06010;Rosenmåge;0
15840;Rosenstær;1
06140;Rosenterne;0
06060;Rovterne;1
11050;Rubinnattergal;0
02530;[Rüppells Grib];0
01710;Rustand;1
01714;Rustand x Gravand (hybrid);0
05129;Ryle sp.;0
05460;Rødben;1
05462;Rødben, Islandsk (ssp. robusta);0
05461;Rødben (ssp. totanus);0
32450;Rødbrystet Svale;0
10990;Rødhals;1
01690;Rødhalset Gås;1
05000;Rødhalset Ryle;0
01960;Rødhovedet And;1
01969;Rødhovedet And x Taffeland (hybrid);0
15230;Rødhovedet Tornskade;1
03580;[Rødhøne];1
09950;Rødrygget Svale;1
15150;Rødrygget Tornskade;1
11220;Rødstjert;1
00020;Rødstrubet Lom;1
00029;Rødstrubet Lom/Sortstrubet Lom;0
10120;Rødstrubet Piber;1
12654;Rødstrubet Sanger;0
12650;Rødstrubet Sanger/Iberisk Sanger/Makisanger;0
12653;Rødstrubet Sanger (ssp. albistriata);0
12651;Rødstrubet Sanger (ssp. cantillans);0
13150;Rødtoppet Fuglekonge;1
04650;Rødvinget Braksvale;0
33810;[Rødvinget Sortstær];0
16330;Rødøjet Vireo;0
02390;Rød Glente;1
00950;Rørdrum;1
02600;Rørhøg;1
04240;Rørhøne;1
12510;Rørsanger;1
18770;Rørspurv;1
04169;Rørvagtel sp.;0
15630;Råge;1
05790;Sabinemåge;1
04970;Sandløber;1
06050;Sandterne;1
12000;Sangdrossel;1
12009;Sangdrossel/Vindrossel;0
13168;Sanger sp.;0
09760;Sanglærke;1
01540;Sangsvane;1
12610;Sardinsk Sanger;0
12380;Savisanger;1
13010;Schwarz Løvsanger;0
00361;Scopolis Skråpe;0
01810;[Segland];0
08009;Sejler sp.;0
15610;Sibirisk Allike;0
11399;Sibirisk Bynkefugl;0
11392;Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri);0
11397;Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii);0
11394;Sibirisk Bynkefugl (ssp. maurus);0
