artsnavn;bemaerk_antal
Spansk Spurv;1
Spidsand;60
Spidsand x Gråand (hybrid);1
Spidsand x Pibeand (hybrid);1
Spidshalet Ryle;1
Splitterne;20
Sporevibe;1
Spottesanger;1
Spove sp.;250
Spurvehøg;15
Spurveugle;1
Spætmejse;10
Spætmejse, Lysbuget (ssp. europaea);1
Spætmejse, Mørkbuget (ssp. caesia);10
Spætte sp.;10
Stellersand;1
Stendrossel;1
Stenhøne;1
Stenpikker;10
Stenpikker (ssp. oenanthe);10
Stenpikker, Grønlandsk (ssp. leucorhoa);1
Stenvender;10
Steppehøg;1
Steppehøg/Hedehøg;1
Steppehøne;1
Steppevibe;1
Steppeørn;1
Stillehavslom;1
Stillits;25
Stor Alexanderparakit;1
Stor Flagspætte;10
Stor Flagspætte x Hvidrygget Flagspætte (hybrid);1
Stor Flagspætte, Nordlig (ssp. major);10
Stor Flagspætte, Sydlig (ssp. pinetorum);10
Stor Flamingo;1
Stor Flamingo/Cariberflamingo;1
Stor Græshoppesanger;1
Stor Gulben;1
Stor Hornugle;1
Stor Kobbersneppe;5
Stor Kobbersneppe (ssp. limosa);1
Stor Kobbersneppe, Islandsk (ssp. islandica);1
Stor Korsnæb;1
Stor Præstekrave;50
Stor Præstekrave (ssp. hiaticula);1
Stor Præstekrave, Tundra (ssp. tundrae);50
Stor Skallesluger;50
Stor Skrigeørn;1
Stor Sorthovedet Måge;1
Stor Stormsvale;1
Stor Tornskade;1
Stor Tornskade, Ørkentornskade (ssp. pallidirostris);1
Storfalk sp.;1
Stork sp.;1
Stork/Trane sp.;1
Storkjove;1
Stormmåge;1000
Stormmåge (ssp. canus);1000
Stormmåge, Russisk (ssp. heinei);1
Stormsvale sp.;1
Storpiber;1
Storskråpe;1
Storspove;250
Stortrappe;1
Strandhjejle;50
Strandskade;500
Stribet Græshoppesanger;1
Stribet Ryle;1
Stribet Sanger;1
Stylteløber;1
Stær;10000
Sule;1
Sultanhøne;1
Sumpmejse;10
Sumpmejse/Fyrremejse;2
Sumpvibe;1
Svale sp.;300
Svaleklire;5
Svane sp.;200
Svanegås;2
Svanegås x Grågås (hybrid);2
Svartbag;40
Svømmeand sp.;1000
Sydlig Nattergal;1
Søkonge;1
Sølvhejre;1
Sølvmåge;1000
Sølvmåge x Gråmåge (hybrid);1
Sølvmåge x Kaspisk Måge (hybrid);1
Sølvmåge x Sildemåge (hybrid);1
Sølvmåge, Britisk (ssp. argenteus);1
Sølvmåge, Skandinavisk (ssp. argentatus);1000
Sørgedue;1
Taffeland;200
Taffeland x Troldand (hybrid);1
Tajgafluesnapper;1
Tajgapiber;1
