Artsid,Artsnavn,Latin,Kategori
01895,Gråand x Knarand (hybrid),Anas platyrhynchos x Mareca strepera,Alm
01910,Atlingand,Spatula querquedula,Alm
01920,Blåvinget And,Spatula discors,SU
01930,Kaneland,Spatula cyanoptera,Alm
01940,Skeand,Spatula clypeata,Alm
01946,Skeand x Blåvinget And (hybrid),Spatula clypeata x S. discors,Alm
01947,Skeand x Knarand (hybrid),Spatula clypeata x Mareca strepera,Alm
01948,Skeand x Gråand (hybrid),Spatula clypeata x Anas platyrhynchos,Alm
01949,Svømmeand sp.,Mareca/Anas/Spatula sp.,Alm
01950,Marmorand,Marmaronetta angustirostris,SU
01960,Rødhovedet And,Netta rufina,SUB
01969,Rødhovedet And x Taffeland (hybrid),Netta rufina x Aythya ferina,Alm
01980,Taffeland,Aythya ferina,Alm
01989,Taffeland x Troldand (hybrid),Aythya ferina x A. fuligula,Alm
02000,Halsbåndstroldand,Aythya collaris,SU
02005,Halsbåndstroldand x Troldand (hybrid),Aythya collaris x A. fuligula,Alm
02020,Hvidøjet And,Aythya nyroca,SUB
02028,Hvidøjet And x Troldand (hybrid),Aythya nyroca x A. fuligula,Alm
02029,Hvidøjet And x Taffeland (hybrid),Aythya nyroca x A. ferina,Alm
02030,Troldand,Aythya fuligula,Alm
02038,Troldand/Bjergand,Aythya fuligula/A. marila,Alm
02039,Troldand x Bjergand (hybrid),Aythya fuligula x A. marila,Alm
02040,Bjergand,Aythya marila,Alm
02050,Lille Bjergand,Aythya affinis,SU
02051,Lille Bjergand x Troldand (hybrid),Aythya affinis x A. fuligula,Alm
02058,Dykand hybrid,Aythya sp. x Aythya sp.,Alm
02059,Dykand sp. (Aythya sp.),Aythya sp.,Alm
02060,Ederfugl,Somateria mollissima,Alm
02063,Ederfugl, Arktisk (ssp. borealis),Somateria mollissima borealis,SU
02070,Kongeederfugl,Somateria spectabilis,SUB
02078,Kongeederfugl x Ederfugl (hybrid),Somateria spectabilis x S. mollissima,Alm
02090,Stellersand,Polysticta stelleri,SU
02120,Havlit,Clangula hyemalis,Alm
02130,Sortand,Melanitta nigra,Alm
02132,Amerikansk Sortand,Melanitta americana,SUB
02140,Brilleand,Melanitta perspicillata,SUB
02150,Fløjlsand,Melanitta fusca,Alm
02151,Amerikansk/Asiatisk Fløjlsand,Melanitta deglandi/M. stejnegeri,Alm
02152,Asiatisk Fløjlsand,Melanitta stejnegeri,SU
02153,Amerikansk Fløjlsand,Melanitta deglandi,SU
02160,Bøffeland,Bucephala albeola,SU
02180,Hvinand,Bucephala clangula,Alm
02189,Hvinand x Lille Skallesluger (hybrid),Bucephala clangula x Mergellus albellus,Alm
02190,Hjelmskallesluger,Lophodytes cucullatus,SU
02200,Lille Skallesluger,Mergellus albellus,Alm
02210,Toppet Skallesluger,Mergus serrator,Alm
02218,Toppet Skallesluger/Stor Skallesluger,Mergus serrator/M. merganser,Alm
02230,Stor Skallesluger,Mergus merganser,Alm
02239,Skallesluger sp.,Mergus sp.,Alm
02250,Amerikansk Skarveand,Oxyura jamaicensis,SU
02260,Hvidhovedet And,Oxyura leucocephala,SU
02268,Havdykand sp. (Mergini),Mergini,Alm
02269,Andefugl sp.,Anatidae,Alm
02270,Kalkungrib,Cathartes aura,Alm
02310,Hvepsevåge,Pernis apivorus,Alm
02320,Tophvepsevåge,Pernis ptilorhynchus,SU
02350,Blå Glente,Elanus caeruleus,SU
02380,Sort Glente,Milvus migrans,SUB
02382,Sort Glente, Gulnæbbet (ssp. parasitus),Milvus migrans parasitus,SU
02388,Sort Glente/Rød Glente,Milvus migrans/M. milvus,Alm
02389,Sort Glente x Rød Glente (hybrid),Milvus migrans x M. milvus,Alm
02390,Rød Glente,Milvus milvus,Alm
02430,Havørn,Haliaeetus albicilla,Alm
02440,Hvidhovedet Havørn,Haliaeetus leucocephalus,SU
02450,Beringhavørn,Haliaeetus pelagicus,SU
02460,Lammegrib,Gypaetus barbatus,SU
02470,Ådselgrib,Neophron percnopterus,SU
02510,Gåsegrib,Gyps fulvus,SU
02530,Rüppells Grib,Gyps rueppelli,Alm
02550,Munkegrib,Aegypius monachus,SU
02559,Grib sp.,Gypeatus/Gyps/Aegypticus/Neophron sp.,Alm
02560,Slangeørn,Circaetus gallicus,SU
02600,Rørhøg,Circus aeruginosus,Alm
02610,Blå Kærhøg,Circus cyaneus,Alm
02615,Amerikansk Kærhøg,Circus hudsonius,SU
02619,Blå Kærhøg x Steppehøg (hybrid),Circus cyaneus x C. macrourus,Alm
02620,Steppehøg,Circus macrourus,SUB
02629,Steppehøg/Hedehøg,Circus macrourus/C. pygargus,Alm
02630,Hedehøg,Circus pygargus,Alm
02649,Kærhøg sp.,Circus sp.,Alm
02670,Duehøg,Astur gentilis,Alm
02672,Duehøg, Russisk (ssp. buteoides),Astur gentilis buteoides,SU
02690,Spurvehøg,Accipiter nisus,Alm
02749,Høg sp.,Accipiter/Astur sp.,Alm
02870,Musvåge,Buteo buteo,Alm
02872,Musvåge, Steppevåge (ssp. vulpinus),Buteo buteo vulpinus,SU
02880,Ørnevåge,Buteo rufinus,SU
02900,Fjeldvåge,Buteo lagopus,Alm
02919,Våge sp.,Buteo sp.,Alm
02920,Lille Skrigeørn,Clanga pomarina,SUB
02929,Lille Skrigeørn/Stor Skrigeørn,Clanga pomarina/C. clanga,Alm
02930,Stor Skrigeørn,Clanga clanga,SU
02945,Steppeørn,Aquila nipalensis,SU
02950,Kejserørn,Aquila heliaca,SU
02960,Kongeørn,Aquila chrysaetos,SUB
02979,Ørn sp.,Aquila/Clanga/Haliaeetus/Hieraatus sp.,Alm
02980,Dværgørn,Hieraaetus pennatus,SU
02990,Høgeørn,Aquila fasciata,SU
03010,Fiskeørn,Pandion haliaetus,Alm
03030,Lille Tårnfalk,Falco naumanni,SU
03040,Tårnfalk,Falco tinnunculus,Alm
03050,Amerikansk Tårnfalk,Falco sparverius,SU
03070,Aftenfalk,Falco vespertinus,SUB
03090,Dværgfalk,Falco columbarius,Alm
03100,Lærkefalk,Falco subbuteo,Alm
03109,Lærkefalk/Aftenfalk,Falco subbuteo/F. vespertinus,Alm
03110,Eleonorafalk,Falco eleonorae,SU
03140,Lannerfalk,Falco biarmicus,SU
03160,Slagfalk,Falco cherrug,SU
03180,Jagtfalk,Falco rusticolus,SU
03189,Storfalk sp.,Falco sp.,Alm
03200,Vandrefalk,Falco peregrinus,Alm
03219,Falk sp.,Falco sp.,Alm
03320,Urfugl,Lyrurus tetrix,SU
03550,Chukarhøne,Alectoris chukar,Alm
03580,Rødhøne,Alectoris rufa,Alm
03670,Agerhøne,Perdix perdix,Alm
03700,Vagtel,Coturnix coturnix,Alm
03930,Kongefasan,Syrmaticus reevesii,Alm
03940,Fasan,Phasianus colchicus,Alm
03960,Guldfasan,Chrysolophus pictus,Alm
04070,Vandrikse,Rallus aquaticus,Alm
04080,Plettet Rørvagtel,Porzana porzana,SUB
04100,Lille Rørvagtel,Zapornia parva,SU
04110,Dværgrørvagtel,Zapornia pusilla,SU
04169,Rørvagtel sp.,Porzana/Zapornia sp.,Alm
04210,Engsnarre,Crex crex,Alm
04240,Rørhøne,Gallinula chloropus,Alm
04270,Sultanhøne,Porphyrio porphyrio,Alm
04290,Blishøne,Fulica atra,Alm
04298,Blishøne x Rørhøne (hybrid),Fulica atra x Gallinula chloropus,Alm
04330,Trane,Grus grus,Alm
04360,Prærietrane,Antigone canadensis,SU
04380,Japansk Trane,Grus japonensis,Alm
04385,Trane x Japansk Trane (hybrid),Grus grus x G. japonensis,Alm
04409,Trane sp.,Grus/Antigone sp.,Alm
04410,Jomfrutrane,Grus virgo,SU
04419,Stork/Trane sp.,Ciconia/Grus/Antigone sp.,Alm
04420,Dværgtrappe,Tetrax tetrax,SU
04460,Stortrappe,Otis tarda,SU
04500,Strandskade,Haematopus ostralegus,Alm
04550,Stylteløber,Himantopus himantopus,SUB
04560,Klyde,Recurvirostra avosetta,Alm
04590,Triel,Burhinus oedicnemus,SU
04650,Rødvinget Braksvale,Glareola pratincola,SU
04660,Orientbraksvale,Glareola maldivarum,SU
04670,Sortvinget Braksvale,Glareola nordmanni,SU
04689,Braksvale sp.,Glareola sp.,Alm
04690,Lille Præstekrave,Thinornis dubius,Alm
04700,Stor Præstekrave,Charadrius hiaticula,Alm
04701,Stor Præstekrave (ssp. hiaticula),Charadrius hiaticula hiaticula,Alm
04702,Stor Præstekrave, Tundra (ssp. tundrae),Charadrius hiaticula tundrae,Alm
04770,Hvidbrystet Præstekrave,Anarhynchus alexandrinus,SUB
04780,Tibetansk Præstekrave,Anarhynchus atrifrons,SU
04790,Ørkenpræstekrave,Anarhynchus leschenaultii,SU
04795,Ørken-/Tibetansk/Sibirisk Præstekrave,Anarhynchus leschenaultii/atrifrons/mongolus,Alm
04800,Kaspisk Præstekrave,Anarhynchus asiaticus,SU
04820,Pomeransfugl,Eudromias morinellus,SUB
04840,Amerikansk Hjejle,Pluvialis dominica,SU
04845,Sibirisk Hjejle,Pluvialis fulva,SU
04848,Amerikansk Hjejle/Sibirisk Hjejle,Pluvialis fulva/P. dominica,Alm
04850,Hjejle,Pluvialis apricaria,Alm
04860,Strandhjejle,Pluvialis squatarola,Alm
04870,Sporevibe,Vanellus spinosus,SU
04910,Steppevibe,Vanellus gregarius,SU
04920,Sumpvibe,Vanellus leucurus,SU
04930,Vibe,Vanellus vanellus,Alm
04939,Brokfugl sp.,Charadriinae,Alm
04960,Islandsk Ryle,Calidris canutus,Alm
04961,Islandsk Ryle, Sibirisk (ssp. canutus),Calidris canutus canutus,Alm
04962,Islandsk Ryle, Baffinryle (ssp. islandica),Calidris canutus islandica,Alm
04969,Islandsk Ryle/Lille Kobbersneppe,Calidris canutus/limosa lapponica,Alm
04970,Sandløber,Calidris alba,Alm
04980,Tyknæbbet Dværgryle,Calidris pusilla,SU
05000,Rødhalset Ryle,Calidris ruficollis,SU
05010,Dværgryle,Calidris minuta,Alm
05018,Dværgryle/Temmincksryle,Calidris minuta/C. temminckii,Alm
05020,Temmincksryle,Calidris temminckii,Alm
05050,Hvidrygget Ryle,Calidris fuscicollis,SU
05060,Bairdsryle,Calidris bairdii,SU
05070,Stribet Ryle,Calidris melanotos,SUB
05080,Spidshalet Ryle,Calidris acuminata,SU
05090,Krumnæbbet Ryle,Calidris ferruginea,Alm
05100,Sortgrå Ryle,Calidris maritima,Alm
05120,Almindelig Ryle,Calidris alpina,Alm
05121,Almindelig Ryle, Nordlig (ssp. alpina),Calidris alpina alpina,Alm
05123,Almindelig Ryle, Engryle (ssp. schinzii),Calidris alpina schinzii,Alm
05129,Ryle sp.,Calidris sp.,Alm
05140,Kærløber,Calidris falcinellus,SUB
05150,Klireryle,Calidris himantopus,SU
05160,Prærieløber,Calidris subruficollis,SU
05170,Brushane,Calidris pugnax,Alm
05180,Enkeltbekkasin,Lymnocryptes minimus,Alm
05190,Dobbeltbekkasin,Gallinago gallinago,Alm
05200,Tredækker,Gallinago media,SUB
05270,Langnæbbet Sneppeklire,Limnodromus scolopaceus,SU
05289,Sneppeklire sp.,Limnodromus sp.,Alm
05290,Skovsneppe,Scolopax rusticola,Alm
05320,Stor Kobbersneppe,Limosa limosa,Alm
05321,Stor Kobbersneppe (ssp. limosa),Limosa limosa limosa,Alm
05322,Stor Kobbersneppe, Islandsk (ssp. islandica),Limosa limosa islandica,Alm
05330,Canadisk Kobbersneppe,Limosa haemastica,SU
05340,Lille Kobbersneppe,Limosa lapponica,Alm
05380,Småspove,Numenius phaeopus,Alm
05410,Storspove,Numenius arquata,Alm
05439,Spove sp.,Numenius sp.,Alm
05440,Bartramsklire,Bartramia longicauda,SU
05450,Sortklire,Tringa erythropus,Alm
05459,Sortklire/Rødben,Tringa erythropus/T. totanus,Alm
05460,Rødben,Tringa totanus,Alm
05461,Rødben (ssp. totanus),Tringa totanus totanus,Alm
05462,Rødben, Islandsk (ssp. robusta),Tringa totanus robusta,Alm
05470,Damklire,Tringa stagnatilis,SUB
05480,Hvidklire,Tringa nebularia,Alm
05500,Stor Gulben,Tringa melanoleuca,SU
05510,Lille Gulben,Tringa flavipes,SU
